,NUM,Site,SiteNum.x,SITE_ID,SingleCollection,NewOld,NumCollections.x,ParsonsCollectionSheets,NumCollectionsAtSite,MissingCollections,Notes,Surveyor,Site,Collections.x,East,North,Long,Lat,SurvReg,CA_Size1,CA_Size2,Occu_EA,Occu_LA,Area_EA,Pop_EA,Area_LA,Pop_LA,HM_TOTAL,SiteNum.y,Provenience,TempSite,ProvenienceNum,MissingData,Pars_TOTAL,Collections.y,NumCollections.y
1,1,TX-A-1,1,1001,TRUE,Old,1,1,1,0,,MHP 1967,TX-A-1,1 collection without location #,504331.1762,2160939.246,-98.95871281,19.54325073,TX,281,230,1,1,4,80,4,80,46,1,"TX-A-1 [TX-A-1], MHP 1967, [No Collection Area Name]",TX-A-1,1,FALSE,30,[No Collection Area Name],1
2,2,TX-A-2,2,1002,TRUE,Old,1,1,1,0,,MHP 1967,TX-A-2,1 collection without location #,504951.1912,2161520.51,-98.95280096,19.54850225,TX,50,50,0,1,0,0,1,20,45,2,"TX-A-2 [TX-A-2], MHP 1967, [No Collection Area Name]",TX-A-2,2,FALSE,18,[No Collection Area Name],1
3,3,TX-A-3,3,1003,FALSE,Old,3,3,3,0,,MHP 1967,TX-A-3,"Tls. 2, 3, 4",504977.0251,2161946.77,-98.95255356,19.55235436,TX,206,206,1,1,8,100,8,100,81,3,"TX-A-3 [TX-A-3], MHP 1967, Tl. 3",TX-A-3,4,FALSE,10,Tl. 3,1
4,4,TX-A-6,6,1006,FALSE,Old,3,3,3,0,,MHP 1967,TX-A-6,"TIs. 78, 79, 81",508025.432,2161610.929,-98.92349426,19.54930935,TX,1102,1102,1,1,30,0,30,0,80,6,"TX-A-6 [TX-A-16], MHP 1967, Tl. 78, TX-A-6 [TX-A-16], MHP 1967, Tl. 81",TX-A-16,"6, 8",FALSE,65,"Tl. 78, Tl. 81",2
5,5,TX-A-9,9,1009,FALSE,Old,3,3,3,0,,MHP 1967,TX-A-9,"Tls. 15B-W, 15C, 15-E",508942.5374,2164103.906,-98.91473974,19.57183477,TX,97,97,0,1,0,0,1,20,15,9,"TX-A-9 [TX-A-7], MHP 1967, Tl. 15-E, TX-A-9 [TX-A-7], MHP 1967, Tl. 15B-W",TX-A-7,"11, 9",FALSE,4,"Tl. 15A, Tl. 15B-W",2
6,6,TX-A-10,10,1010,FALSE,Old,4,6,6,2,6 record sheets vs 4 HM collections but 2 missing have same names = Sample #6-E and Sample #6-W,MHP 1967,TX-A-10,"Tls. 6-E, 6-W, 7B, 10",510311.7371,2163884.317,-98.90168669,19.56984368,TX,781,781,1,1,36,150,36,300,51,10,"TX-A-10 [TX-A-8], MHP 1967, Tl. 10, TX-A-10 [TX-A-8], MHP 1967, Tl. 6-E, TX-A-10 [TX-A-8], MHP 1967, Tl. 6-W, TX-A-10 [TX-A-8], MHP 1967, Tl. 7B",TX-A-8,"15, 12, 13, 14",FALSE,31,"Tl. 10, Tl. 6-E, Tl. 6-W, Tl. 7B",4
63,NA,TX-A-10b,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-10b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,"TX-A-10 [TX-A-8], MHP 1967, Sample #6-E, TX-A-10 [TX-A-8], MHP 1967, Sample #6-W",TX-A-8,"259, 260",FALSE,24,"Sample #6-E, Sample #6-W",2
7,7,TX-A-14,14,1014,FALSE,Old,2,2,2,0,,MHP 1967,TX-A-14,"Tls. 22, 22B",514554.9645,2162398.864,-98.86124282,19.55639291,TX,862,862,1,1,15,150,15,150,37,14,"TX-A-14 [TX-A-10], MHP 1967, Tl. 22, TX-A-14 [TX-A-10], MHP 1967, Tl. 22B",TX-A-10,"16, 17",FALSE,69,"Tl. 22A, Tl. 22B",2
8,8,TX-A-16,16,1016,TRUE,Old,1,1,1,0,,MHP 1967,TX-A-16,Tl. 19,515149.1455,2163419.306,-98.8555701,19.56561031,TX,491,491,1,1,6,200,6,200,10,16,"TX-A-16 [TX-A-21], MHP 1967, Tl. 19",TX-A-21,18,FALSE,6,Tl. 19,1
9,9,TX-A-17,17,1017,FALSE,Old,4,6,5,2,Tl. 28 not in any site; 100 meters from TX-A-16; there is a chance that Tl. 28 and 29 are mixed up,MHP 1967,TX-A-17,"Tls. 28, 30, 35, 37",514303.0834,2164297.66,-98.86362965,19.57355435,TX,2232,2232,1,1,115,300,115,600,37,17,"TX-A-17 [TX-A-18], MHP 1967, Tl. 28, TX-A-17 [TX-A-18], MHP 1967, Tl. 30, TX-A-17 [TX-A-18], MHP 1967, Tl. 35, TX-A-17 [TX-A-18], MHP 1967, Tl. 37",TX-A-18,"19, 20, 21, 22",FALSE,36,"Tl. 28, Tl. 30, Tl. 35, Tl. 37",4
64,NA,TX-A-17b,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-17b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1,"TX-A-17 [TX-A-18], MHP 1967, Sample #25-26",TX-A-12,261,FALSE,8,Sample #25-26,1
65,NA,TX-A-17c,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-17c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,"TX-A-17 [TX-A-18], MHP 1967, Tl. 29",TX-A-18,262,FALSE,13,Tl. 29,1
10,10,TX-A-18,18,1018,TRUE,Old,1,1,1,0,,MHP 1967,TX-A-18,Loc. 4,512610.9593,2165292.268,-98.87975622,19.58255419,TX,227,279,1,1,3,50,3,50,51,18,"TX-A-18 [TX-A-11], MHP 1967, Loc. 4",TX-A-11,23,FALSE,67,Loc. 4,1
11,11,TX-A-21,21,1021,FALSE,Old,4,8,4,4,Tls. 66 and 88 should be separated,MHP 1967,TX-A-21,"Tls. 43, 54, 66, 88",514290.1664,2166648.55,-98.86373493,19.59479964,TX,2612,2612,1,1,55,250,55,500,78,21,"TX-A-21 [TX-A-20], MHP 1967, Tl. 43, TX-A-21 [TX-A-20], MHP 1967, Tl. 54, TX-A-21 [TX-A-20], MHP 1967, Tl. 66, TX-A-21 [TX-A-20], MHP 1967, Tl. 88",TX-A-20,"24, 25, 26, 27",FALSE,70,"Tl. 43, Tl. 54, Tl. 66, Tl. 88",4
66,NA,TX-A-21b,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-21b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,"TX-A-21 [TX-A-20], MHP 1967, Area A Loc. 1, TX-A-21 [TX-A-20], MHP 1967, Area A Loc. 2, TX-A-21 [TX-A-20], MHP 1967, Loc. 3, TX-A-21 [TX-A-20], MHP 1967, Tls. 51-52",TX-A-20,"264, 263, 265, 266",FALSE,18,"Area A Loc. 1, Area A Loc. 2, Loc. 3, Tls. 51-52",4
12,12,TX-A-22,22,1022,FALSE,Old,2,2,2,0,,MHP 1967,TX-A-22,"Tls. 85, 87",515543.1133,2165111.43,-98.85180009,19.58089914,TX,1202,1202,0,1,0,0,13,150,72,22,"TX-A-22 [TX-A-26], MHP 1967, Tl. 85, TX-A-22 [TX-A-26], MHP 1967, Tl. 87",TX-A-26,"28, 29",FALSE,63,"Tl. 85, Tl. 87",2
13,13,TX-A-23,23,1023,TRUE,Old,1,1,1,0,,MHP 1967,TX-A-23,Tl. 97,515575.4058,2167798.161,-98.85146992,19.60517906,TX,1964,1964,1,1,18,100,18,150,83,23,"TX-A-23 [TX-A-28], MHP 1967, Tl. 97",TX-A-28,30,FALSE,119,Tl. 97,1
14,14,TX-A-24,24,1024,FALSE,Old,22,22,22,0,,MHP 1967,TX-A-24,"Areas A, E; Locs. 6, 8; Tls. 92, 132, 157, 161, 163, 176, 196, 215, 271, 303, 305, 339, 345-346, 412, 445, 452, 461",517861.7109,2166816.471,-98.82967668,19.59628819,TX,9700,9700,1,1,450,6750,450,13500,586,24,"TX-A-24 [TX-A-22], MHP 1967, Loc. 8, TX-A-24 [TX-A-22], MHP 1967, Tl. 412, TX-A-24 [TX-A-22], MHP 1967, Tl. 445, TX-A-24 [TX-A-22], MHP 1967, Tl. 452, TX-A-24 [TX-A-22], MHP 1967, Tl. 461",TX-A-22,"34, 49, 50, 51, 52",FALSE,273,"Loc. 8, Tl. 412, Tl. 445, Tl. 452, Tl. 461",5
15,15,TX-A-25,25,1025,FALSE,Old,3,3,3,0,,MHP 1967,TX-A-25,"Loc. 11; Tls. 375, 476",520548.4424,2165796.03,-98.80406817,19.58704038,TX,915,915,1,1,115,600,115,1200,178,25,"TX-A-25 [TX-A-32], MHP 1967, Loc. 11, TX-A-25 [TX-A-32], MHP 1967, Tl. 478",TX-A-32,"53, 55",FALSE,134,"Loc. 11, Tl. 478",2
16,16,TX-A-26,26,1026,TRUE,Old,1,1,1,0,,MHP 1967,TX-A-26,Tl. 613,522292.2345,2165976.867,-98.78743884,19.58865578,TX,314,314,1,1,10,75,10,150,612,26,"TX-A-26 [TX-A-29], MHP 1967, Tl. 613",TX-A-29,56,FALSE,72,Tl. 613,1
17,17,TX-A-27,27,1027,FALSE,Old,4,4,4,0,,MHP 1967,TX-A-27,"Tls. 554, 567, 569, 575",522460.1552,2165124.347,-98.78584787,19.58094963,TX,1358,1358,1,1,17,150,17,300,279,27,"TX-A-27 [TX-A-30], MHP 1967, Tl. 554, TX-A-27 [TX-A-30], MHP 1967, Tl. 567, TX-A-27 [TX-A-30], MHP 1967, Tl. 569, TX-A-27 [TX-A-30], MHP 1967, Tl. 575",TX-A-30,"57, 58, 59, 60",FALSE,354,"Tl. 554, Tl. 567, Tl. 569, Tl. 575",4
18,18,TX-A-28,28,1028,FALSE,Old,6,6,6,0,,MHP 1967,TX-A-28,"Loc. 14; Tls. 590, 806, 808, 845, 852",523816.4379,2165124.347,-98.77291612,19.58093381,TX,224,224,1,1,75,600,75,1200,204,28,"TX-A-28 [TX-A-31], MHP 1967, Loc. 14, TX-A-28 [TX-A-31], MHP 1967, Tl. 590, TX-A-28 [TX-A-31], MHP 1967, Tl. 806, TX-A-28 [TX-A-31], MHP 1967, Tl. 808, TX-A-28 [TX-A-31], MHP 1967, Tl. 845, TX-A-28 [TX-A-31], MHP 1967, Tl. 852",TX-A-31,"61, 62, 63, 64, 65, 66",FALSE,206,"Loc. 14, Tl. 590, Tl. 806, Tl. 808, Tl. 845, Tl. 852",6
19,19,TX-A-30,30,1030,FALSE,Old,7,7,7,0,,MHP 1967,TX-A-30,"Tls. 695, 712, 727, 752, 754, 760, 791",524358.951,2163651.811,-98.76776249,19.56761985,TX,713,713,1,1,100,1000,100,1500,251,30,"TX-A-30 [TX-A-37], MHP 1967, Tl. 695, TX-A-30 [TX-A-37], MHP 1967, Tl. 712, TX-A-30 [TX-A-37], MHP 1967, Tl. 727, TX-A-30 [TX-A-37], MHP 1967, Tl. 732, TX-A-30 [TX-A-37], MHP 1967, Tl. 754, TX-A-30 [TX-A-37], MHP 1967, Tl. 760, TX-A-30 [TX-A-37], MHP 1967, Tl. 791",TX-A-37,"67, 68, 69, 70, 71, 72, 73",FALSE,288,"Tl. 695, Tl. 712, Tl. 727, Tl. 753, Tl. 754, Tl. 760, Tl. 791",7
20,20,TX-A-31,31,1031,FALSE,Old,4,4,4,0,,MHP 1967,TX-A-31,"Tls. 632, 635, 665, 670",524229.7812,2162631.37,-98.76900712,19.55839965,TX,733,733,1,1,50,350,50,700,134,31,"TX-A-31 [TX-A-36], MHP 1967, Tl. 632, TX-A-31 [TX-A-36], MHP 1967, Tl. 635, TX-A-31 [TX-A-36], MHP 1967, Tl. 665, TX-A-31 [TX-A-36], MHP 1967, Tl. 670",TX-A-36,"74, 75, 76, 77",FALSE,154,"Tl. 632, Tl. 635, Tl. 665, Tl. 670",4
21,21,TX-A-34,34,1034,TRUE,Old,1,1,1,0,,MHP 1967,TX-A-34,Tl. 771,523222.2569,2163845.566,-98.77859724,19.56938445,TX,491,491,1,1,6,60,6,60,111,NA,NA,NA,NA,NA,NA,NA,NA
22,22,TX-A-36,36,1036,TRUE,Old,1,1,1,0,,MHP 1967,TX-A-36,Loc. 13,522356.8194,2163496.808,-98.78685249,19.56624263,TX,177,177,1,1,1,10,1,10,72,36,"TX-A-36 [TX-A-34], MHP 1967, Loc. 13",TX-A-34,79,FALSE,75,Loc. 13,1
23,23,TX-A-38,38,1038,FALSE,Old,2,2,2,0,,MHP 1967,TX-A-38,"Tl. 511, 515",520251.3519,2163148.049,-98.80692945,19.56311346,TX,689,689,1,1,65,325,65,650,35,NA,NA,NA,NA,NA,NA,NA,NA
24,24,TX-A-40,40,1040,FALSE,Old,8,11,8,3,,MHP 1967,TX-A-40,"Loc. 9; Tls. 103, 105, 111, 115, 369, 370, 378",517816.5015,2163096.381,-98.83014302,19.56266987,TX,4566,4566,1,1,100,1500,100,1500,412,40,"TX-A-40 [TX-A-24], MHP 1967, Tl. 103, TX-A-40 [TX-A-24], MHP 1967, Tl. 105, TX-A-40 [TX-A-24], MHP 1967, Tl. 111, TX-A-40 [TX-A-24], MHP 1967, Tl. 115",TX-A-24,"83, 84, 85, 86",FALSE,171,"Tl. 103, Tl. 105, Tl. 111, Tl. 115",4
67,NA,TX-A-40b,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-40b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,"TX-A-40 [TX-A-24], MHP 1967, Just SW of Tl. 119, TX-A-40 [TX-A-24], MHP 1967, Tl. 119, TX-A-40 [TX-A-24], MHP 1967, Tl. 123",TX-A-24,"268, 267, 269",FALSE,12,"Just SW of Tl. 119, Tl. 119, Tl. 123",3
71,NA,TX-A-40c,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-40c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,"TX-A-40 [TX-A-25], MHP 1967, Loc. 9, TX-A-40 [TX-A-25], MHP 1967, Sample #372, TX-A-40 [TX-A-25], MHP 1967, Sample #375, TX-A-40 [TX-A-25], MHP 1967, Sample #370, TX-A-40 [TX-A-25], MHP 1967, Tl. 388, TX-A-40 [TX-A-25], MHP 1967, Tl. 390",TX-A-25,"275, 271, 272, 270, 273, 274",FALSE,332,"Loc. 9, Sample # 372, Sample # 375, Sample #370, Tl. 388, Tl. 390",6
25,25,TX-A-42,42,1042,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-42,Tl. 2,504163.2555,2156327.885,-98.9603237,19.50157745,TX,177,177,0,1,0,0,2,0,27,NA,NA,NA,NA,NA,NA,NA,NA
26,27,TX-A-44,44,1044,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-44,1 collection without location #,506746.6511,2155462.447,-98.93570674,19.49374925,TX,500,333,1,1,2,40,2,40,59,44,"TX-A-44 [TX-A-1], JRP 1967, [No Collection Area Name]",TX-A-1,92,FALSE,3,[No Collection Area Name],1
27,28,TX-A-46,46,1046,FALSE,Old,2,3,2,1,,JRP 1967,TX-A-46,"Loc. 7, Tl. 4",508651.9054,2155798.289,-98.9175488,19.49677696,TX,480,480,0,1,0,0,20,200,17,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,TX-A-46b,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-46b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.5,"TX-A-46 [TX-A-3], Tl. 5",TX-A-3,280,FALSE,13,Tl. 5,1
28,29,TX-A-47,47,1047,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-47,Tl. 6,507851.0528,2157270.824,-98.92517466,19.51008784,TX,185,100,0,1,0,0,5,100,26,NA,NA,NA,NA,NA,NA,NA,NA
29,30,TX-A-49,49,1049,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-49,Tl. 1A,509620.6788,2157542.081,-98.90830768,19.51253147,TX,243,300,0,1,0,0,25,300,57,NA,NA,NA,NA,NA,NA,NA,NA
30,31,TX-A-52,52,1052,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-52,Tl. 8,510227.7768,2153873.659,-98.90254143,19.47937625,TX,150,150,1,1,3,60,3,60,43,52,"TX-A-52 [TX-A-4], JRP 1967, Tl. 8",TX-A-4,97,FALSE,45,Tl. 8,1
31,32,TX-A-53,53,1053,TRUE,Old,1,1,1,0,,JRP 1967,TX-A-53,Tl. 12,510964.0445,2152904.885,-98.89553129,19.47061733,TX,314,314,1,1,25,500,25,500,109,53,"TX-A-53 [TX-A-9], JRP 1967, Tl. 12",TX-A-9,98,FALSE,58,Tl. 12,1
